"Table 1.2.  All Returns: Adjusted Gross Income, Deductions,
and Tax Items, by Size of Adjusted Gross Income 
and by Filing Status, Tax Year 2019 (Filing Year 2020)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"   No adjusted gross income (includes deficits)","2,698","-9,900,629",0,0,0,0,0,0,"2,685","240,701","2,698","241,873","1,485","-6,058,199",0,0,0,0,0,0,"1,478","86,774","1,485","87,492",197,"-1,529,471",0,0,0,0,0,0,197,"8,692",197,"8,720",136,"-99,265",0,0,0,0,0,0,136,"2,887",136,"2,887",879,"-2,213,694",0,0,0,0,0,0,875,"142,349",879,"142,775",,
"   $1 under $5,000","137,525","409,732","* 4,013","* 3,458","132,509","240,563","137,523","163,946","137,525","11,660","137,525","11,660","** 3,021","** 27,830",**,**,0,0,0,0,"** 3,013",** 878,"** 3,021",** 905,"** 211,912","** 3,390,604",**,**,0,0,**,**,"** 210,882","** 87,436","** 211,912","** 87,765",**,**,**,**,0,0,0,0,"** 13,289","** 2,779","** 13,295","** 2,872","135,516","407,145",**,**,"132,509","240,563",**,**,"135,516","11,181","135,516","11,181",,
"   $5,000 under $10,000","146,214","1,077,970","* 7,121","* 30,785","138,089","549,524","145,196","498,421","146,206","37,488","146,214","37,515",**,**,**,**,"** 3,019","** 22,997","** 3,015","** 4,881",**,**,**,**,**,**,**,**,"** 58,488","** 671,446","** 66,531","** 129,569",**,**,**,**,**,**,0,0,0,0,0,0,**,**,**,**,"139,174","1,023,158","* 4,104","* 13,965","135,070","526,664","** 274,678","** 641,233","139,174","33,799","139,174","33,799",,
"   $10,000 under $15,000","2,363,049","32,349,604","9,041","59,703","2,354,007","28,141,080","2,360,028","3,854,749","2,363,042","341,676","2,363,049","341,768",**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,0,**,**,0,0,**,**,**,**,"2,301,537","31,515,412","* 6,025","* 46,305",**,**,"2,298,522","3,741,433","2,301,537","330,975","2,301,537","330,975",,
"   $15,000 under $20,000","5,097,694","89,015,570","58,189","781,148","5,038,194","61,900,156","5,096,955","25,577,742","5,096,664","2,424,938","5,097,694","2,425,268",**,**,**,**,0,0,0,0,**,**,**,**,**,**,**,**,"137,926","1,649,406","144,379","810,275",**,**,**,**,**,**,0,0,"** 13,294","** 206,951","13,147","20,173",**,**,**,**,"4,940,027","86,237,044","53,048","762,544","** 7,182,491","** 87,513,295","4,939,429","24,747,294","4,940,027","2,348,712","4,940,027","2,348,712",,
"   $20,000 under $25,000","5,193,441","117,082,517","120,379","1,875,979","5,073,062","63,078,583","5,193,438","51,134,529","5,193,441","4,928,478","5,193,441","4,928,510","37,555","918,385",**,**,"37,555","842,147","37,552","24,892","37,555","2,489","37,555","2,489","185,172","4,213,739",**,**,"178,567","2,152,415","185,172","1,904,591","185,172","186,938","185,172","186,970",**,**,0,0,"73,911","1,336,399","73,911","359,995","73,911","19,093","73,911","19,093","4,896,803","110,223,606","113,774","1,784,291","4,783,029","58,747,622","4,896,803","48,845,051","4,896,803","4,719,958","4,896,803","4,719,958",,
"   $25,000 under $30,000","5,659,877","155,524,755","163,196","2,689,299","5,496,681","75,307,704","5,659,851","76,425,196","5,659,877","7,714,894","5,659,877","7,714,894","520,726","14,530,400",**,**,"519,705","13,121,780","520,708","1,273,358","520,726","118,238","520,726","118,238","209,402","5,785,578",**,**,"196,024","2,393,813","209,402","3,197,117","209,402","331,179","209,402","331,179",**,**,0,0,"180,382","3,273,279","180,382","1,642,543","180,382","92,428","180,382","92,428","4,749,368","130,214,016","148,798","2,521,044","4,600,570","56,518,831","4,749,360","70,312,179","4,749,368","7,173,050","4,749,368","7,173,050",,
"   $30,000 under $40,000","11,034,973","385,579,114","446,332","8,208,484","10,587,639","152,284,676","11,034,967","222,433,816","11,034,973","22,644,687","11,034,973","22,644,687","1,458,822","51,172,274","** 31,576","** 875,638","1,428,268","36,467,702","1,458,819","13,413,987","1,458,822","1,139,434","1,458,822","1,139,434","479,604","16,787,162","** 76,691","** 868,301","434,071","5,233,239","479,600","10,766,800","479,604","1,084,128","479,604","1,084,128","** 882,174","** 28,956,775","** 21,280","** 459,168","593,307","10,793,651","614,586","10,485,482","614,586","604,771","614,586","604,771","8,481,961","295,636,134","** 352,975","** 6,317,598","8,131,993","99,790,084","8,481,961","187,767,547","8,481,961","19,816,354","8,481,961","19,816,354",,
"   $40,000 under $50,000","10,135,556","455,155,269","624,350","12,541,460","9,511,206","146,700,819","10,135,412","293,129,051","10,134,526","29,047,640","10,135,556","29,047,785","1,734,757","78,331,452","64,001","2,001,384","1,670,756","42,121,710","1,734,754","33,424,714","1,734,757","2,806,351","1,734,757","2,806,351","429,421","19,328,995","36,981","564,909","392,441","4,770,691","429,421","13,877,286","428,391","1,439,048","429,421","1,439,193","1,389,422","62,556,601","51,792","1,135,857","1,337,630","24,431,495","1,389,422","36,565,117","1,389,422","1,962,073","1,389,422","1,962,073","6,581,956","294,938,221","471,576","8,839,310","6,110,380","75,376,922","6,581,815","209,261,934","6,581,956","22,840,168","6,581,956","22,840,168",,
"   $50,000 under $75,000","19,868,580","1,225,323,851","2,190,078","49,028,450","17,676,498","311,554,318","19,868,126","856,556,373","19,867,968","92,630,788","19,868,580","92,633,864","6,587,355","417,061,536","352,585","11,416,882","6,234,771","155,742,875","6,586,905","246,113,930","6,586,743","20,712,232","6,587,355","20,714,576","696,780","42,143,377","121,349","2,151,565","574,428","6,977,515","696,780","32,597,914","696,780","3,889,795","696,780","3,890,527","2,585,363","159,038,221","234,638","5,703,969","2,350,725","43,050,625","2,585,363","109,371,066","2,585,363","7,598,102","2,585,363","7,598,102","9,999,082","607,080,717","1,481,506","29,756,034","8,516,574","105,783,303","9,999,078","468,473,462","9,999,082","60,430,659","9,999,082","60,430,659",,
"   $75,000 under $100,000","13,557,576","1,175,473,929","2,176,421","53,929,824","11,381,155","236,850,815","13,557,576","876,425,726","13,557,576","100,253,091","13,557,576","100,254,141","7,746,661","677,066,726","556,000","18,163,769","7,190,661","178,836,937","7,746,661","474,710,018","7,746,661","41,409,874","7,746,661","41,410,301","329,565","28,361,997","95,115","1,849,018","234,450","2,865,695","329,565","23,424,390","329,565","3,569,057","329,565","3,569,657","1,212,222","104,340,130","263,804","6,737,648","948,418","17,355,236","1,212,222","79,629,239","1,212,222","8,409,379","1,212,222","8,409,379","4,269,128","365,705,076","1,261,502","27,179,390","3,007,626","37,792,947","4,269,128","298,662,080","4,269,128","46,864,781","4,269,128","46,864,804",,
"   $100,000 under $200,000","21,807,901","2,980,568,339","5,448,224","164,730,296","16,359,677","374,251,469","21,807,646","2,412,863,560","21,805,245","333,803,960","21,807,901","333,838,228","16,539,116","2,285,959,537","3,132,416","106,665,710","13,406,700","333,496,366","16,539,104","1,823,516,879","16,537,745","230,038,342","16,539,116","230,042,610","305,905","40,304,908","118,621","2,708,163","187,284","2,296,722","305,703","34,822,037","304,621","6,067,095","305,905","6,096,007","1,044,208","136,804,699","424,778","12,491,734","619,430","11,357,265","1,044,201","111,784,801","1,044,208","17,221,234","1,044,208","17,221,373","3,918,672","517,499,195","1,772,409","42,864,690","2,146,264","27,101,116","3,918,638","442,739,843","3,918,672","80,477,289","3,918,672","80,478,238",,
"   $200,000 under $500,000","7,283,635","2,086,935,882","3,383,743","132,992,189","3,899,752","91,896,306","7,282,960","1,827,322,070","7,272,718","344,858,013","7,283,635","348,842,920","6,136,186","1,760,096,660","2,709,252","108,893,105","3,426,934","85,446,477","6,135,989","1,535,015,095","6,130,363","278,731,642","6,136,186","281,492,711","65,157","18,791,427","32,582","1,003,721","32,574","404,492","65,105","17,048,955","63,889","3,883,029","65,157","3,965,296","192,938","54,968,780","114,256","4,302,200","78,542","1,447,902","192,893","48,517,869","191,121","10,956,938","192,938","11,089,751","889,355","253,079,015","527,654","18,793,163","361,701","4,597,436","888,972","226,740,152","887,345","51,286,405","889,355","52,295,162",,
"   $500,000 under $1,000,000","1,161,188","781,117,718","746,895","44,547,465","414,292","9,804,154","1,160,743","711,166,282","1,158,847","177,122,512","1,161,188","181,562,077","995,469","669,454,275","629,486","37,783,352","365,984","9,143,388","995,172","609,571,268","** 1,458,402","** 508,038,850","995,469","153,374,489","14,094","9,709,024","9,938","511,500","4,155","51,720","14,092","8,910,891","13,866","2,319,997","14,094","2,391,872","27,640","18,616,354","19,462","997,616","8,178","151,167","27,640","17,043,934","27,411","4,723,934","27,640","4,831,987","123,985","83,338,066","88,010","5,254,997","35,975","457,880","123,839","75,640,189","123,703","20,106,239","123,985","20,963,729",,
"   $1,000,000 or more","555,892","1,734,382,917","421,906","110,317,065","133,983","3,120,299","555,675","1,566,820,209","** 554,462","** 437,046,029","555,892","456,826,969","465,329","1,406,808,776","351,328","84,575,606","114,001","2,848,512","465,172","1,275,552,536",**,**,"465,330","373,020,476","11,238","62,860,374","9,122","5,791,104","2,114","26,043","11,230","55,378,117","11,133","14,285,488","11,239","15,304,047","13,405","41,091,305","10,039","2,159,608","3,366","61,829","13,405","37,745,681","13,216","10,361,807","13,405","10,789,804","65,919","223,622,461","51,416","17,790,748","14,503","183,916","65,867","198,143,875","65,578","54,332,225","65,919","57,712,643",,
"Nontaxable returns, total","53,791,007","756,777,437","1,549,100","63,367,099","50,110,860","798,399,643","20,147,752","302,572,549",**,**,0,0,"12,569,633","253,423,910","549,018","26,205,233","11,381,768","283,461,176","6,304,701","147,470,937",**,**,0,0,"780,905","-2,654,898","35,333","920,647","635,986","7,626,220","239,798","5,269,741",0,0,0,0,"14,315,831","338,703,215","246,526","7,997,706","13,969,574","255,827,217","9,062,502","113,563,143",0,0,0,0,"26,124,639","167,305,210","718,224","28,243,513","24,123,533","251,485,030","4,540,751","36,268,729",0,0,0,0,,
"* Estimate should be used with caution due to the small number of sample returns on which it is based.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"** Data combined to prevent disclosure of taxpayer information.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTE: Detail may not add to totals because of rounding.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SOURCE: IRS, Statistics of Income Division, Publication 1304, November 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
